wdid,name,wdLabel,gender,dob,dobPrecision,source,sourceDate,pid,position,start,psid
Q102109268,Anatoly Markevich,Anatol Markevich,male,1971-01-01,9,http://www.government.by/en/departments/,2021-08-24,Q13414824,Minister of Culture,2020-11-19,Q102109268-4c76ed8c-48db-7e15-5c19-a2a8baae3aeb
Q105882952,Vadim Sinyavsky,Vadim Sinyavsky,male,1970-05-15,11,,,Q106510810,Minister of Emergency Situations of the Republic of Belarus,2021-03-11,Q105882952-4C917799-BB18-42C9-A54C-08BDF41EABFF
Q106373017,Piartsou Uladzimir,Vladimir Pertsov,male,1974-05-07,11,http://www.government.by/en/departments/,2021-08-24,Q106399613,Minister of Information,2021-04-05,Q106373017-b311a152-4ecd-ec7e-e049-749782d6e388
Q106400321,Igor Brylo,Igor Brylo,male,1972-06-18,11,,,Q90315932,Minister of Agriculture and Food of the Republic of Belarus,2022-02-10,Q106400321-5B11DEDE-E752-403A-AA1B-BC513BCB688E
Q110223669,Alexei Bogdanov,Alexei Bogdanov,male,1973-06-27,11,,,Q106510807,Minister of Antimonopoly Regulation and Trade of the Republic of Belarus,2021-12-21,Q110223669-ed84fc8f-43a4-41ee-7d1a-62a462b5d869
Q13031225,Lieanid Zajac,Lieanid Zajac,male,1958-09-30,11,,,Q18690228,Deputy Prime Minister of the Republic of Belarus,2022-03-21,Q13031225-7b269541-47c5-8f8c-b936-83a8ff2e7537
Q13031552,Nikolai Snopkov,Mikalai Snapkou,male,1969-09-14,11,http://www.government.by/en/departments/,2021-08-24,Q18690166,First Deputy Prime Minister of the Republic of Belarus,2020-06-04,Q13031552-e6bce116-4f77-e53c-cbe5-4a6517d53bad
Q2026222,Vladimir Makey,Vladimir Makei,male,1958-08-05,11,http://www.government.by/en/departments/,2021-08-24,Q2045068,Minister of Foreign Affairs,2012-08-20,Q2026222-B38791EA-BF37-409E-92D4-57C5D6129F4F
Q21843506,Sergey Nalivaiko,Sergey Nalivaiko,male,1973-10-24,11,http://www.government.by/en/departments/,2021-08-24,Q106510811,Minister of Tax Collection,2014-12-27,Q21843506-4D2CBD3C-41AA-4248-8294-1E69D42A459C
Q27043179,Roman Golovchenko,Roman Golovchenko,male,1973-08-10,11,,,Q12379704,Prime Minister of Belarus,2020-06-04,Q27043179-5FA7AFAE-1097-4918-8837-A4A92E8E7EBC
Q28971534,Irina Kostevich,Irina Kostevich,female,1967-01-26,11,http://www.government.by/en/departments/,2021-08-24,Q106510812,Minister of Labour and Social Protection,2017-03-14,Q28971534-637B8E05-57A8-4BC9-B567-87DEEDABDBC0
Q3925052,Anatol Sivak,Anatol Sivak,male,1962-11-30,11,,,Q18690228,Deputy Prime Minister of the Republic of Belarus,2020-09-03,Q3925052-12B81FAE-F0E1-4D0B-990F-834996F8EBCB
Q42302151,Andrei Khudyk,Andrej Chudyk,male,1959-01-01,9,http://www.government.by/en/departments/,2021-08-24,Q106193915,Minister of Natural Resources and Environmental Protection,2017-09-14,Q42302151-09ffabbf-4c6b-00c2-d4dd-c20bd9e65829
Q4360605,Igor Petrishenko,Ihar Pietryšenka,male,1965-10-19,11,http://www.government.by/en/departments/,2021-08-24,Q18690228,Deputy Prime Minister of the Republic of Belarus,2018-08-18,Q4360605-3294833A-48C8-4FA4-BB70-EA9E7E49787C
Q51543441,Sergey Kovalchuk,Sergey Kovalchuk,male,1968-08-14,11,http://www.government.by/en/departments/,2021-08-24,Q26232772,Minister of Sports and Tourism,2018-03-05,Q51543441-be0e8b09-1ff3-4d36-b21c-0e8824597f40
Q56193126,Kanstantsin Shulhan,Kanstancin Kanstancinavič Šulhan,male,1965-07-11,11,http://www.government.by/en/departments/,2021-08-24,Q28598480,Minister of Communication and Informatization,2018-08-18,Q56193126-948444d3-4d54-fe9e-7d01-c7948247e9ed
Q56418116,Viktor Karankevich,Viktor Karankevich,male,1976-08-01,11,http://www.government.by/en/departments/,2021-08-24,Q15623461,Minister of Energy,2018-08-31,Q56418116-D334084F-B5D2-4629-A8F8-DD5A60F9D0D3
Q60626586,Aleksey Avramenko,Aliaksei Auramenka,male,1977-05-11,11,http://www.government.by/en/departments/,2021-08-24,Q60676745,Minister of Transport and Communications,2019-01-15,Q60626586-f46f7130-4200-ca6f-36e2-e05695093129
Q80901264,Aleksander Chervyakov,Aleksander Chervyakov,male,1966-09-15,11,http://www.government.by/en/departments/,2021-08-24,Q81117853,Minister of Economy,2020-01-04,Q80901264-B69E8EFD-1A6D-4D34-97D5-73FD87C5C98B
Q83283317,Viktor Khrenin,Viktor Khrenin,male,1971-08-01,11,http://www.government.by/en/departments/,2021-08-24,Q44035369,Minister of Defence,2020-01-20,Q83283317-39596078-15B8-418A-83B6-C45ACA990B5A
Q87058344,Yury Nazarov,Jury Nazaraŭ,male,1962-01-01,9,http://www.government.by/en/departments/,2021-08-24,Q18690228,Deputy Prime Minister of the Republic of Belarus,2020-03-03,Q87058344-4046f073-4964-60ff-7824-2f1990187591
Q89419452,Andrei Ivanets,Andrei Ivanets,male,1984-09-17,11,,,Q106457598,Minister of Education of the Republic of Belarus,2022-02-10,Q89419452-0A390868-E9F5-40B5-B7C3-E2B404107E60
Q90845282,Petr Parkhomchyk,Piotr Parkhomchyk,male,1957-08-22,11,http://www.government.by/en/departments/,2021-08-24,Q106508605,Minister of Industry,2020-06-04,Q90845282-5feb2e39-4a49-0fcf-2ffc-371470f902d5
Q96059302,Ruslan Parkhamovich,Ruslan Parkhamovich,male,1980-07-18,11,,,Q13411105,Minister of Architecture and Construction of the Republic of Belarus,2020-06-04,Q96059302-B980B983-E389-422B-85C3-F4C9119C5D13
Q96096369,Yry Seliverstau,Yury Sieliviorstau,male,1978-01-01,9,http://www.government.by/en/departments/,2021-08-24,Q106510813,Minister of Finance,2020-06-04,Q96096369-65797944-4E4D-42EB-BCD4-FE5DE6A1F7FA
Q96313371,Andrey Khmel,Andrey Khmel,male,1983-01-01,9,http://www.government.by/en/departments/,2021-08-24,Q106510808,Minister of Housing and Communal Services,2020-06-04,Q96313371-6868DE7F-B17C-4934-B14E-1846E729EC7F
Q98605721,Pinevich Dmitry,Dmitry Pinevich,male,1967-10-17,11,http://www.government.by/en/departments/,2021-08-24,Q89775465,Minister of Public Health,2020-11-27,Q98605721-04E2BC7F-A7C7-4B1F-9338-6C24499B9085
Q98831330,Ivan Kubrakov,Ivan Kubrakou,male,1975-05-05,11,http://www.government.by/en/departments/,2021-08-24,Q100699741,Minister of Internal Affairs,2020-10-29,Q98831330-1219F1D5-BFBD-45D4-9E87-6E5159929F12
Q98833684,Siarhei Khamenka,Siarhei Khamenka,male,1966-09-21,11,,,Q106510814,Minister of Justice of the Republic of Belarus,2021-10-18,Q98833684-933dad48-4092-562f-6b9d-a2dffd9d58c5
